Primary Type,total_crimes,arrests,arrest_rate
GAMBLING,46,45,97.83
CONCEALED CARRY LICENSE VIOLATION,553,537,97.11
NARCOTICS,15360,14717,95.81
LIQUOR LAW VIOLATION,456,430,94.3
PROSTITUTION,573,535,93.37
PUBLIC INDECENCY,21,19,90.48
INTERFERENCE WITH PUBLIC OFFICER,1809,1618,89.44
WEAPONS VIOLATION,16874,11011,65.25
NON-CRIMINAL,7,4,57.14
OTHER NARCOTIC VIOLATION,15,8,53.33
PUBLIC PEACE VIOLATION,2358,1179,50.0
OBSCENITY,124,58,46.77
HOMICIDE,1277,430,33.67
CRIMINAL TRESPASS,11970,3543,29.6
OTHER OFFENSE,39617,7578,19.13
BATTERY,106287,18455,17.36
ASSAULT,54146,6070,11.21
ARSON,1064,108,10.15
SEX OFFENSE,3082,263,8.53
OFFENSE INVOLVING CHILDREN,3829,314,8.2
ROBBERY,20660,1545,7.48
THEFT,138934,9890,7.12
KIDNAPPING,240,14,5.83
STALKING,1302,72,5.53
BURGLARY,20713,1049,5.06
CRIMINAL DAMAGE,66814,2558,3.83
CRIMINAL SEXUAL ASSAULT,3877,142,3.66
DECEPTIVE PRACTICE,36815,1233,3.35
INTIMIDATION,371,12,3.23
MOTOR VEHICLE THEFT,50769,1480,2.92
HUMAN TRAFFICKING,37,1,2.7
