,Beat,District,Ward,Community Area,Latitude,Longitude,Year,Month,Hour,Weekend,Arrest,Domestic
Beat,1.0,0.9998215252109542,0.6562656564945525,-0.4791298011674693,0.6366556978754876,-0.5378331653539149,-0.008936671285950801,0.0011193846602999484,-0.0016508062123319193,0.006632601796241192,-0.010190419947146458,-0.05988438152589256
District,0.9998215252109542,1.0,0.6571260008187577,-0.4793584327016593,0.637733480939001,-0.5390445781657296,-0.008966572417138798,0.0011258670978317557,-0.0016012483838742581,0.00652521234342449,-0.010264655412102055,-0.059889733390741766
Ward,0.6562656564945525,0.6571260008187577,1.0,-0.547174803083569,0.7417053320681779,-0.4815379827070998,-0.0025747328699935687,0.0014796550075698537,0.009388467872955157,0.002484912173935211,0.00992420043973933,-0.09170690502265928
Community Area,-0.4791298011674693,-0.4793584327016593,-0.547174803083569,1.0,-0.7556205187601507,0.20511919403848367,0.006365402616011915,-0.0060573836877158525,-0.011011387126850805,-0.010410995167786917,0.0027965152265899936,0.10976901259633466
Latitude,0.6366556978754876,0.637733480939001,0.7417053320681779,-0.7556205187601507,1.0,-0.519311577782296,-0.008638544326469544,0.004162923969997833,0.013706062713593639,0.004396814275716437,0.00287866001864719,-0.1263762492718272
Longitude,-0.5378331653539149,-0.5390445781657296,-0.4815379827070998,0.20511919403848367,-0.519311577782296,1.0,0.00861245752955309,0.001307509342809534,0.0009495640690434577,-0.0006648506226972837,-0.03876789582683026,0.006055724777783142
Year,-0.008936671285950801,-0.008966572417138798,-0.0025747328699935687,0.006365402616011915,-0.008638544326469544,0.00861245752955309,1.0,-0.378692750052445,0.0017826593584686138,-0.005562036282789886,0.04244755492880957,0.01387876862425986
Month,0.0011193846602999484,0.0011258670978317557,0.0014796550075698537,-0.0060573836877158525,0.004162923969997833,0.001307509342809534,-0.378692750052445,1.0,-0.00043308466670988893,0.013884124416454225,-0.02823442109337721,-0.009476905167191615
Hour,-0.0016508062123319193,-0.0016012483838742581,0.009388467872955157,-0.011011387126850805,0.013706062713593639,0.0009495640690434577,0.0017826593584686138,-0.00043308466670988893,1.0,-0.0405045958601318,0.05537631515003579,-0.020214662932971715
Weekend,0.006632601796241192,0.00652521234342449,0.002484912173935211,-0.010410995167786917,0.004396814275716437,-0.0006648506226972837,-0.005562036282789886,0.013884124416454225,-0.0405045958601318,1.0,-0.0008922299436302615,0.03840992428931588
Arrest,-0.010190419947146458,-0.010264655412102055,0.00992420043973933,0.0027965152265899936,0.00287866001864719,-0.03876789582683026,0.04244755492880957,-0.02823442109337721,0.05537631515003579,-0.0008922299436302615,1.0,0.011091306297416068
Domestic,-0.05988438152589256,-0.059889733390741766,-0.09170690502265928,0.10976901259633466,-0.1263762492718272,0.006055724777783142,0.01387876862425986,-0.009476905167191615,-0.020214662932971715,0.03840992428931588,0.011091306297416068,1.0
