Primary Type,count
THEFT,138934
BATTERY,106287
CRIMINAL DAMAGE,66814
ASSAULT,54146
MOTOR VEHICLE THEFT,50769
OTHER OFFENSE,39617
DECEPTIVE PRACTICE,36815
BURGLARY,20713
ROBBERY,20660
WEAPONS VIOLATION,16874
NARCOTICS,15360
CRIMINAL TRESPASS,11970
CRIMINAL SEXUAL ASSAULT,3877
OFFENSE INVOLVING CHILDREN,3829
SEX OFFENSE,3082
PUBLIC PEACE VIOLATION,2358
INTERFERENCE WITH PUBLIC OFFICER,1809
STALKING,1302
HOMICIDE,1277
ARSON,1064
PROSTITUTION,573
CONCEALED CARRY LICENSE VIOLATION,553
LIQUOR LAW VIOLATION,456
INTIMIDATION,371
KIDNAPPING,240
OBSCENITY,124
GAMBLING,46
HUMAN TRAFFICKING,37
PUBLIC INDECENCY,21
OTHER NARCOTIC VIOLATION,15
NON-CRIMINAL,7
