Crime_Type,Encoded_Value
ARSON,0
ASSAULT,1
BATTERY,2
BURGLARY,3
CONCEALED CARRY LICENSE VIOLATION,4
CRIMINAL DAMAGE,5
CRIMINAL SEXUAL ASSAULT,6
CRIMINAL TRESPASS,7
DECEPTIVE PRACTICE,8
GAMBLING,9
HOMICIDE,10
HUMAN TRAFFICKING,11
INTERFERENCE WITH PUBLIC OFFICER,12
INTIMIDATION,13
KIDNAPPING,14
LIQUOR LAW VIOLATION,15
MOTOR VEHICLE THEFT,16
NARCOTICS,17
NON-CRIMINAL,18
OBSCENITY,19
OFFENSE INVOLVING CHILDREN,20
OTHER NARCOTIC VIOLATION,21
OTHER OFFENSE,22
PROSTITUTION,23
PUBLIC INDECENCY,24
PUBLIC PEACE VIOLATION,25
ROBBERY,26
SEX OFFENSE,27
STALKING,28
THEFT,29
WEAPONS VIOLATION,30
