Location_Description,Encoded_Value
ABANDONED BUILDING,0
AIRCRAFT,1
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,2
AIRPORT BUILDING NON-TERMINAL - SECURE AREA,3
AIRPORT EXTERIOR - NON-SECURE AREA,4
AIRPORT EXTERIOR - SECURE AREA,5
AIRPORT PARKING LOT,6
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,7
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,8
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,9
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,10
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,11
AIRPORT TRANSPORTATION SYSTEM (ATS),12
AIRPORT VENDING ESTABLISHMENT,13
ALLEY,14
ANIMAL HOSPITAL,15
APARTMENT,16
APPLIANCE STORE,17
ATHLETIC CLUB,18
ATM (AUTOMATIC TELLER MACHINE),19
AUTO,20
AUTO / BOAT / RV DEALERSHIP,21
BANK,22
BAR OR TAVERN,23
BARBER SHOP/BEAUTY SALON,24
BARBERSHOP,25
BASEMENT,26
BOAT / WATERCRAFT,27
BOWLING ALLEY,28
BRIDGE,29
CAR WASH,30
CASINO/GAMBLING ESTABLISHMENT,31
CEMETARY,32
CHA APARTMENT,33
CHA GROUNDS,34
CHA HALLWAY,35
CHA HALLWAY / STAIRWELL / ELEVATOR,36
CHA PARKING LOT,37
CHA PARKING LOT / GROUNDS,38
CHA STAIRWELL,39
CHURCH / SYNAGOGUE / PLACE OF WORSHIP,40
CLEANING STORE,41
COIN OPERATED MACHINE,42
COLLEGE / UNIVERSITY - GROUNDS,43
COLLEGE / UNIVERSITY - RESIDENCE HALL,44
COMMERCIAL / BUSINESS OFFICE,45
CONSTRUCTION SITE,46
CONVENIENCE STORE,47
CREDIT UNION,48
"CTA ""L"" PLATFORM",49
"CTA ""L"" TRAIN",50
CTA BUS,51
CTA BUS STOP,52
CTA PARKING LOT / GARAGE / OTHER PROPERTY,53
CTA PLATFORM,54
CTA PROPERTY,55
CTA STATION,56
CTA TRACKS - RIGHT OF WAY,57
CTA TRAIN,58
CURRENCY EXCHANGE,59
DAY CARE CENTER,60
DEPARTMENT STORE,61
DRIVEWAY,62
DRIVEWAY - RESIDENTIAL,63
DRUG STORE,64
FACTORY / MANUFACTURING BUILDING,65
FARM,66
FEDERAL BUILDING,67
FIRE STATION,68
FOREST PRESERVE,69
GANGWAY,70
GARAGE,71
GAS STATION,72
GAS STATION DRIVE/PROP.,73
GOVERNMENT BUILDING / PROPERTY,74
GROCERY FOOD STORE,75
HALLWAY,76
HIGHWAY / EXPRESSWAY,77
HOSPITAL,78
HOSPITAL BUILDING / GROUNDS,79
HOTEL,80
HOTEL / MOTEL,81
HOUSE,82
JAIL / LOCK-UP FACILITY,83
KENNEL,84
LAKE,85
LAKEFRONT / WATERFRONT / RIVERBANK,86
LIBRARY,87
LIQUOR STORE,88
MEDICAL / DENTAL OFFICE,89
MOVIE HOUSE / THEATER,90
NEWSSTAND,91
NURSING / RETIREMENT HOME,92
OFFICE,93
OTHER (SPECIFY),94
OTHER COMMERCIAL TRANSPORTATION,95
OTHER RAILROAD PROPERTY / TRAIN DEPOT,96
PARK PROPERTY,97
PARKING LOT,98
PARKING LOT / GARAGE (NON RESIDENTIAL),99
PAWN SHOP,100
POLICE FACILITY / VEHICLE PARKING LOT,101
POOL ROOM,102
PORCH,103
RAILROAD PROPERTY,104
RESIDENCE,105
RESIDENCE - GARAGE,106
RESIDENCE - PORCH / HALLWAY,107
RESIDENCE - YARD (FRONT / BACK),108
RESTAURANT,109
RETAIL STORE,110
RIVER BANK,111
SAVINGS AND LOAN,112
SCHOOL - PRIVATE BUILDING,113
SCHOOL - PRIVATE GROUNDS,114
SCHOOL - PUBLIC BUILDING,115
SCHOOL - PUBLIC GROUNDS,116
SCHOOL YARD,117
SIDEWALK,118
SMALL RETAIL STORE,119
SPORTS ARENA / STADIUM,120
STAIRWELL,121
STREET,122
TAVERN,123
TAVERN / LIQUOR STORE,124
TAXICAB,125
UNKNOWN,126
VACANT LOT,127
VACANT LOT / LAND,128
VEHICLE - COMMERCIAL,129
VEHICLE - COMMERCIAL: ENTERTAINMENT / PARTY BUS,130
VEHICLE - COMMERCIAL: TROLLEY BUS,131
VEHICLE - DELIVERY TRUCK,132
"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",133
VEHICLE NON-COMMERCIAL,134
VESTIBULE,135
WAREHOUSE,136
YARD,137
