,PC1,PC2,PC3
Hour,0.009997243482347219,0.0008911659595092436,0.6778835152742209
Day,0.002186497341444271,-0.0055239087175487185,0.13283473969420978
Month,0.0011687630432519816,0.6680955466498554,0.03577386088833485
Year,-0.008220908608701713,-0.43453533803725364,0.02326224519625423
Lat_norm,0.502470933949779,0.0035961390954880575,-0.03881324483337903
Lon_norm,-0.4981911241181428,0.006400997557730288,-0.02181831120918708
Lat_bin,0.5031032263737211,0.0034892131208099694,-0.042637467535692974
Lon_bin,-0.49549540548742976,0.002636930836303186,-0.020000189172379244
DayOfWeek_encoded,0.0014033922093510814,0.01526976042793565,-0.3675551196559451
Season_encoded,-0.0034073311445794044,0.6005928745319697,0.05041609808799734
Arrest_flag,0.022644132357912128,-0.061466033535015265,0.6157669637617692
